url,chunk_id,content
https://handbook.gitlab.com/handbook/values/,0,"The Handbook GitLab Values GitLab Values Learn more about how we live our values at GitLab CREDIT GitLab’s six core values are 🤝 Collaboration , 📈 Results for Customers , ⏱️ Efficiency , 🌐 Diversity, Inclusion & Belonging , 👣 Iteration , and 👁️ Transparency , and together they spell the CREDIT we give each other by assuming good intent. We react to them with values emoji and they are made actionable below. About our values We take inspiration from other companies, and we always go for the boring solutions . Our co-founder, Sid Sijbrandij, has shared the origin of each of the CREDIT values, but just like the rest of our work, we continually adjust our values and strive to make them better. GitLab values are a living document. In many instances, they have been documented, refined, and revised based on lessons learned (and scars earned) in the course of doing business. We used to have more values, but it was difficult to remember them all. In response, we condensed them, created an acronym (CREDIT), and listed operating principles to guide behavior. Everyone is welcome to suggest improv"
https://handbook.gitlab.com/handbook/values/,1,"ifficult to remember them all. In response, we condensed them, created an acronym (CREDIT), and listed operating principles to guide behavior. Everyone is welcome to suggest improvements. Please assign MRs to update these values to our Chief People Officer and if you work at GitLab, also @mention them in the #values Slack channel . Driving Results with CREDIT from GitLab on Vimeo . 🤝 Collaboration To achieve results, team members must work together effectively. At GitLab, helping others is a priority, even when it is not immediately related to the goals that you are trying to achieve. Similarly, you can rely on others for help and advice—in fact, you’re expected to do so. Anyone can chime in on any subject, including people who don’t work at GitLab. The person who’s responsible for the work decides how to do it, but they should always take each suggestion seriously and try to respond and explain why it may or may not have been implemented. Kindness We value caring for others. Demonstrating we care for people provides an effective framework for challenging directly and delivering feed"
https://handbook.gitlab.com/handbook/values/,2,"or may not have been implemented. Kindness We value caring for others. Demonstrating we care for people provides an effective framework for challenging directly and delivering feedback. Kindness doesn’t mean holding back on feedback or avoiding disagreements, these are crucial to professional growth and getting results for customers. Kindness means you make a separation between the work and the person, you can criticize someone’s work but still be respectful to the person. Give as much positive feedback as you can, and do it in a public way. Share There are aspects of GitLab culture, such as intentional transparency, that are unintuitive to outsiders and new team members. Be willing to invest in people and engage in open dialogue. For example, consider making private issues public wherever possible so that we can all learn from the experience. Don’t be afraid of judgement or scrutiny when sharing publicly, we all understand it’s impossible to know everything . Everyone can remind anyone in the company about our values. If there is a disagreement about the interpretations, the discuss"
https://handbook.gitlab.com/handbook/values/,3,"we all understand it’s impossible to know everything . Everyone can remind anyone in the company about our values. If there is a disagreement about the interpretations, the discussion can be escalated to more people within the company without repercussions. Share problems you run into, ask for help, be forthcoming with information and speak up . Negative feedback is 1-1 Give negative feedback in the smallest setting possible. One-on-one video calls are preferred. Negative feedback is distinct from negativity and disagreement. If there is no direct feedback involved, strive to discuss disagreement in a public channel , respectfully and transparently . In a GitLab Unfiltered interview on values , GitLab co-founder Sid Sijbrandij offers the following context. We deal with negative all the time at GitLab. If it’s not a problem, then why are we discussing it? We deal with negativity a lot, and that’s also part of our ambition. If you want to get better, you talk about what you can improve. We’re allowed to publicly discuss negative things; we’re not allowed to give negative feedback in a"
https://handbook.gitlab.com/handbook/values/,4,"f our ambition. If you want to get better, you talk about what you can improve. We’re allowed to publicly discuss negative things; we’re not allowed to give negative feedback in a large setting if it could be feasibly administered in a smaller setting. Negative feedback can be given in a group setting if it’s to someone higher in the management chain. This shows that no one is above feedback. Provide feedback in a timely manner We want to solve problems while they are small . If you are unhappy with anything (your duties, your colleague, your boss, your salary, your location, your computer), please voice your concerns rather than keeping them to yourself. If you need to escalate beyond your manager, you could consider speaking to your skip-level , a more senior person, or a people business partner . Say thanks Recognize the people that helped you publicly, for example in our #thanks chat channel . When publicly thanking, it’s important to recognize the following: Showing thanks in as large a setting as possible (company-wide) at a company as large as ours is the exception instead of"
https://handbook.gitlab.com/handbook/values/,5,"icly thanking, it’s important to recognize the following: Showing thanks in as large a setting as possible (company-wide) at a company as large as ours is the exception instead of the norm, it takes some getting used to. Being thanked at the company level for what you view as a relatively small or minuscule contribution can feel awkward. Thanking a person in #thanks should be done sincerely and summarize why you are thankful so the person on the receiving end can easily understand why they are being thanked. Even while assuming positive intent , not all folks are comfortable with public praise. Help this person understand how they went above and beyond and why you felt it was important for the team member to be recognized. There are a number of good ways and places to say thanks. We shouldn’t limit saying thanks to just the #thanks channel . Give feedback effectively Giving feedback is challenging, but it’s important to deliver it effectively. When providing feedback, always make it about the work itself; focus on the business impact and not the person. Make sure to provide at least"
https://handbook.gitlab.com/handbook/values/,6,"important to deliver it effectively. When providing feedback, always make it about the work itself; focus on the business impact and not the person. Make sure to provide at least one clear and recent example. If a person is going through a hard time in their personal life, then take that into account. An example of giving positive feedback is our thanks chat channel . For managers, it’s important to realize that team members react to a negative incident with their managers six times more strongly than they do to a positive one. Keeping that in mind, if an error is so inconsequential that the value gained from providing criticism is low, it might make sense to keep that feedback to yourself. In the situations where negative feedback must be given, focus on the purpose for that feedback: to improve the team member’s performance going forward. Give recognition generously, in the open, and often to generate more engagement from your team. Get to know each other We use a lot of text-based communication , and if you know the person behind the text, it will be easier to prevent conflicts."
https://handbook.gitlab.com/handbook/values/,7,"re engagement from your team. Get to know each other We use a lot of text-based communication , and if you know the person behind the text, it will be easier to prevent conflicts. So we encourage people to get to know each other on a personal level through informal communication , for example, virtual coffee chats , and during GitLab Summit . Reach across company departments While it’s wise to seek advice from experts within your function, we encourage GitLab team members to do the same across departments. This enables the company to iterate more quickly, embrace the understanding that everyone can contribute and include more diverse perspectives when possible. Don’t pull rank If you have to remind someone of the position you have in the company, you’re doing something wrong. People already know our decision-making process . Explain why you’re making the decision, and respect everyone irrespective of their function. This includes using the rank of another person - including the CEO - to sell an idea or decision. Assume positive intent We naturally have a double standard when it comes"
https://handbook.gitlab.com/handbook/values/,8,"function. This includes using the rank of another person - including the CEO - to sell an idea or decision. Assume positive intent We naturally have a double standard when it comes to the actions of others. We blame circumstances for our own mistakes, but individuals for theirs. This double standard is called the Fundamental Attribution Error . In order to mitigate this bias, you should always assume positive intent in your interactions with others, respecting their expertise and giving them grace in the face of what you might perceive as mistakes. When disagreeing , folks sometimes argue against the weakest points of an argument, or an imaginary argument (e.g. “straw man” ). Assume the points are presented in good faith, and instead try to argue against the strongest version of your opponent’s position. We call this arguing against a “steel” position, instead of a “straw” one. This concept is borrowed from argue the “steel man” technique. A “steel” position should be against the absolute most effective version of your opponent’s position — potentially even more compelling than the o"
https://handbook.gitlab.com/handbook/values/,9,"argue the “steel man” technique. A “steel” position should be against the absolute most effective version of your opponent’s position — potentially even more compelling than the one they presented. A good “steel” position is one where the other person feels you’ve represented their position well, even if they still disagree with your assumptions or conclusion. Address behavior, but don’t label people There is a lot of good in this article about not wanting jerks on our team, but we believe that jerk is a label for behavior rather than an inherent classification of a person. We avoid classifications. Say sorry If you made a mistake, apologize as soon as possible. Saying sorry is not a sign of weakness but one of strength. The people that do the most work will likely make the most mistakes. Additionally, when we share our mistakes and bring attention to them, others can learn from us, and the same mistake is less likely to be repeated by someone else. Mistakes can include when you have not been kind to someone. In order to reinforce our values, it is important, and takes more courage,"
